id,age_group,female,country,daily_sessions,subscribed_30,active_30
1,65+,FALSE,Australia,0.866666666666667,FALSE,FALSE
2,18-34,TRUE,USA,1,FALSE,FALSE
3,35-49,TRUE,USA,1.03333333333333,FALSE,FALSE
4,18-34,FALSE,USA,2.86666666666667,FALSE,FALSE
5,18-34,TRUE,Canada,2.7,FALSE,FALSE
6,35-49,TRUE,Australia,1.06666666666667,FALSE,FALSE
7,18-34,TRUE,Australia,0.6,FALSE,FALSE
8,50-64,TRUE,USA,0.0666666666666667,FALSE,FALSE
9,35-49,TRUE,USA,1,FALSE,FALSE
10,18-34,TRUE,Australia,1.5,FALSE,TRUE
11,35-49,TRUE,Australia,2.26666666666667,FALSE,FALSE
12,65+,FALSE,USA,1.96666666666667,FALSE,FALSE
13,50-64,TRUE,UK,2.63333333333333,FALSE,TRUE
14,18-34,FALSE,USA,2.7,FALSE,FALSE
15,18-34,FALSE,USA,1.03333333333333,FALSE,FALSE
16,35-49,TRUE,Australia,1,FALSE,TRUE
17,18-34,FALSE,Australia,0.7,FALSE,FALSE
18,35-49,FALSE,Australia,0.266666666666667,FALSE,FALSE
19,65+,FALSE,Canada,0.333333333333333,FALSE,FALSE
20,65+,FALSE,USA,0.0333333333333333,FALSE,FALSE
21,18-34,FALSE,Australia,1.36666666666667,FALSE,FALSE
22,18-34,TRUE,UK,1.16666666666667,FALSE,TRUE
23,18-34,TRUE,USA,1,FALSE,FALSE
24,18-34,FALSE,UK,1.76666666666667,FALSE,FALSE
25,18-34,TRUE,Canada,0.9,FALSE,FALSE
26,35-49,TRUE,USA,0.966666666666667,FALSE,TRUE
27,50-64,FALSE,USA,2.4,FALSE,FALSE
28,65+,FALSE,UK,1.33333333333333,FALSE,FALSE
29,65+,TRUE,USA,2.63333333333333,FALSE,FALSE
30,18-34,FALSE,USA,1.46666666666667,TRUE,FALSE
31,35-49,FALSE,USA,2.33333333333333,FALSE,TRUE
32,35-49,TRUE,USA,0.933333333333333,FALSE,FALSE
33,35-49,TRUE,USA,1.36666666666667,FALSE,FALSE
34,65+,TRUE,USA,0.8,FALSE,FALSE
35,18-34,FALSE,Australia,2.93333333333333,FALSE,TRUE
36,35-49,FALSE,USA,1.9,FALSE,FALSE
37,18-34,FALSE,Australia,0.366666666666667,FALSE,FALSE
38,18-34,FALSE,UK,2.36666666666667,FALSE,TRUE
39,65+,TRUE,Canada,0.7,FALSE,FALSE
40,50-64,FALSE,USA,2.33333333333333,FALSE,TRUE
41,35-49,FALSE,USA,1.06666666666667,FALSE,TRUE
42,35-49,TRUE,Australia,1.2,FALSE,TRUE
43,18-34,TRUE,USA,1.23333333333333,FALSE,FALSE
44,18-34,TRUE,USA,1.56666666666667,FALSE,FALSE
